Word,Frequency
10,13952
100,4287
1000,2057
102,316
103,376
104,408
106,334
109,247
10th,1595
11,8322
111,461
112,283
115,245
118,217
119,302
11th,1415
12,7558
120,749
122,252
124,187
127,164
128,208
129,96
12th,1566
13,5538
133,139
134,183
137,184
139,87
13th,1358
14,6572
140,413
141,198
142,102
143,135
144,225
145,245
146,179
147,179
148,130
14th,1381
15,6332
150,783
151,141
152,170
155,164
156,224
158,165
15th,1371
16,5882
160,317
161,222
163,115
164,136
165,181
166,183
169,157
16th,995
17,4824
170,271
175,168
176,181
177,100
178,70
17th,1454
18,5572
183rd,2
185,112
186,83
189,86
18th,1729
19,4122
190,252
191,154
194,55
1958,39
196,89
1960,143
1965,45
197,150
1977,82
1980,189
1982,118
1996,412
1997,301
19th,888
1st,692
20,7601
200,1184
2007,1218
2008,1349
2010,1063
2011,1491
2012,1623
2013,1782
2014,1713
2015,1370
2016,2366
2017,2482
2018,2306
2019,2983
2020,2845
2021,4006
2022,6828
2023,8208
2024,25705
2025,28564
2028,971
204,184
205,183
208,128
20th,717
21,3524
210,145
211,103
215,78
216,38
21st,540
22,4303
226,46
229,63
22nd,513
23,3289
232,49
23rd,731
24,4234
246,72
249,55
24th,685
25,5214
255,82
25th,720
26,3563
261,84
264,147
26th,426
27,4219
27th,348
28,3143
284,31
285,64
28th,521
29,2611
29th,356
2nd,875
30,11830
300,1855
30th,391
31,2843
314,411
319,97
31st,309
32,2347
33,1874
33rd,206
34,1634
34th,347
35,2109
36,2296
3600,4
37,1897
379,32
37th,167
38,1724
38th,192
39,1508
390,18
39th,139
3rd,653
3w,2
40,3140
41,4003
41st,216
42,1728
424,14
43,1213
44,1247
44th,145
45,1550
46,1120
47,1197
47th,142
48,1272
49,878
490,2
4996,1
49th,157
4th,627
50,4317
500,1636
5000,32
50kg,470
51,1151
5121,1
5162,1
51st,213
52,1435
53,951
53rd,192
54,1067
54th,102
55,1015
5529,1
56,788
57,854
57kg,329
58,818
58th,106
59,801
5th,582
5w,2
60,1826
60th,95
61,794
62,703
63,677
63rd,64
64,898
64th,211
65,1355
65th,84
66,1007
67,921
68,1058
69,917
692,9
69kg,86
6th,428
70,1380
7000,13
71,881
71st,69
72,978
73,745
74,758
75,3230
750,1196
75kg,209
76,716
76th,53
77,575
77th,91
78,457
79,369
7th,526
81,516
82,674
83,600
84,1238
87,679
88th,167
89,770
8th,595
90,1194
91,500
93,458
96,284
99,404
9th,452
aakarshi,623
aamir,68
aaron,4371
ab,509
abdul,535
aberg,168
abhinav,435
abhishek,2887
ability,7993
abishek,315
ablaze,49
able,7054
absence,4677
absorb,102
abstained,38
abuzz,155
ac,431
academy,3020
acc,162
accelerate,231
accept,971
accepted,823
acche,25
accolade,793
accomplishment,700
according,5318
accordingly,348
accounted,194
accumulating,360
accused,1200
ace,1562
achieve,2473
achieved,4043
achievement,5412
achieving,981
acknowledged,3577
acknowledging,1140
acosto,2
acquired,645
acquiring,502
act,1717
action,7584
actually,3012
ad,560
adapt,1008
add,4467
added,12830
addedkohli,1
adding,4250
additional,1740
additionally,1764
address,1970
adductor,62
adeptness,8
adil,319
adjei,5
admiration,1223
admitted,2700
adopted,388
advance,1789
advanced,2834
advancing,741
advantage,4558
advantageous,75
advent,34
advertising,95
advice,1032
advised,515
advisory,137
aerial,302
afc,1862
affair,1547
affect,935
affiliated,185
afghanistan,3075
afp,2055
africa,6648
african,1307
afternoon,1129
agada,3
agarwal,342
aged,597
agenda,225
aggression,804
aggressive,3699
agility,471
ago,4880
agreed,1207
ahead,12112
ahmad,680
ahmed,2010
ahmedabad,1863
ahmedtravis,12
aiden,688
aim,4076
aimed,799
aiming,1953
airee,25
ajay,854
ajinkya,1065
akane,519
akash,1848
akeal,102
akshay,653
al,1173
albiach,24
alcaraz,4423
alert,331
alex,4212
alexander,1601
alexei,141
ali,2569
alike,1147
alisher,1
alive,1466
allegation,1377
allegri,8
allianz,147
allowed,2552
allowing,2024
allows,723
allrounder,1356
allure,92
almora,111
alongside,5066
alonso,1812
alternating,55
alternative,432
alzarri,210
amallia,16
amassed,1079
amazed,109
ambassador,344
ambati,143
amends,258
amerat,20
american,5956
amid,2572
amidst,1217
amit,891
amplifying,38
amritraj,330
amusement,93
amusing,131
analysed,92
analysing,62
ancelotti,825
andravindra,1
andre,1539
andrey,329
ange,150
angeles,6979
angkrish,467
angrily,45
angrkrish,2
ani,946
ankita,280
ankle,1957
anmol,985
anmolpreet,90
annals,190
announced,7073
announcement,2793
announcing,889
anonymity,59
anrich,379
anshul,349
answer,1664
answering,161
anthony,2855
anticipate,439
anticipated,2587
anticipates,248
anticipation,868
antoine,110
antonio,1441
anuj,284
anukul,192
anupama,735
anushka,293
anymore,761
ap,4871
apart,1738
apiece,156
apna,55
apollo,49
apparent,364
appearance,8613
appeared,3254
appears,1699
applause,308
applying,240
appointed,1255
appreciate,653
approach,5930
approached,839
apr,1287
april,5489
aravelly,29
archer,1078
architect,200
ardent,52
area,3078
arena,3275
arjun,1085
arm,1291
arnaldi,132
arora,549
arrival,1384
arrive,353
arrived,1699
arrowhead,445
